uhhidfs,uhhidp,s1,s2,s3,s4,s5,s6,s7,s8
2278,1001416,1,1,2,2,1,none,2,1
2279,1001415,2,2,3,2,3,none,2,2
2280,1001417,2,3,3,3,2,none,2,2
2281,1000119,1,2,2,2,2,none,2,1
2282,1000429,1,2,2,2,2,none,2,1
2283,1000338,1,1,1,1,1,none,1,1
2284,1002263,1,2,2,2,2,none,1,1
2285,1002303,1,1,2,2,2,none,2,1
2286,1002265,1,2,2,2,3,none,2,1
2287,1002266,1,1,1,2,2,none,2,2
2288,1002264,2,2,2,2,3,none,2,1
2289,1001785,1,2,2,1,2,none,1,1
2290,1002267,2,2,2,2,4,I stay far away from the trading center,2,2
2291,1002251,1,2,2,2,2,none,2,1
2292,1002250,1,2,2,2,2,none,2,1
2293,1001419,1,2,1,1,3,I have no time,2,1
2294,1002180,3,2,2,2,3,the distance is far from each other.,2,1
2295,3000527,1,1,1,2,1,Very often,1,2
2296,3000872,1,2,2,2,2,Often,1,1
2297,3000871,1,1,2,2,2,Often,2,1
2298,3000873,1,2,2,2,2,Often,1,1
2299,3000870,1,2,1,2,1,Very often,1,1
2300,1002758,1,1,1,2,2,Often,1,1
2301,1002781,1,2,2,2,2,Often,1,1
2302,2000544,2,2,2,2,2,999,2,1
2303,2000543,2,2,2,2,1,999,2,2
2304,1001686,1,1,2,3,2,0,2,1
2305,1002513,2,2,3,2,3,0,2,1
2306,1002464,2,2,3,2,2,0,2,1
2307,1001574,1,2,2,3,2,0,2,1
2308,1001714,1,2,2,3,2,0,2,1
2309,1002463,2,2,2,2,2,0,2,1
2310,1002462,2,2,2,2,2,0,3,3
2311,1002461,2,2,2,3,2,0,2,1
2312,1002690,2,2,2,2,3,0,2,1
2313,1002687,2,3,2,2,2,0,3,1
2314,1002681,2,2,2,2,2,0,3,1
2315,1002684,2,2,2,3,1,0,2,1
2316,1002714,2,2,2,2,2,0,3,1
2317,1002713,2,3,2,3,2,0,2,1
2318,1002715,2,2,3,3,1,0,3,3
2319,1002716,2,2,2,2,3,0,2,1
2320,1001497,1,1,2,2,2,none,2,1
2321,1003033,1,1,1,1,1,999,1,1
2322,1002418,1,1,1,1,1,999,1,1
2323,1000028,1,2,2,3,2,0,2,1
2324,1002001,1,1,1,1,1,0,2,2
2325,1002003,2,2,1,2,1,none,2,2
2326,1002002,2,2,2,2,3,none,2,2
2327,1001968,2,1,1,2,2,0,2,2
2328,1000475,1,1,2,1,1,999,1,1
2329,1001510,2,1,1,1,1,999,1,1
